Root Superpathway	Gene Identifier	Log fold difference	Pointwise Relative Entropy
Metabolism of RNA	NCOA7	0.060683368	0.012555488
Metabolism of RNA	PAN3	0.05870378	0.012555488
Metabolism of RNA	PAX5	0.114796826	0.012555488
Metabolism of RNA	PKN2	0.09661686	0.012555488
Metabolism of RNA	PPP1CA	0.100733628	0.012555488
Metabolism of RNA	PSIP1	0.12689246	0.012555488
Metabolism of RNA	RANBP2	0.070204607	0.012555488
Metabolism of RNA	RBBP4	0.103548412	0.012555488
Metabolism of RNA	SCAF8	0.050513938	0.012555488
Metabolism of RNA	SH3BGRL	0.0980503	0.012555488
Metabolism of RNA	SON	0.062117608	0.012555488
Metabolism of RNA	SSRP1	0.076867201	0.012555488
Metabolism of RNA	SUPT16H	0.079984705	0.012555488
Metabolism of RNA	SUZ12	0.11523727	0.012555488
Metabolism of RNA	XPO1	0.072033128	0.012555488
Metabolism of RNA	BUB3	0.071506814	0.012555488
Metabolism of RNA	CCT3	0.097394066	0.012555488
Metabolism of RNA	CKAP5	0.065292591	0.012555488
Metabolism of RNA	EIF3B	0.084827214	0.012555488
Metabolism of RNA	EIF4A1	0.08101283	0.012555488
Metabolism of RNA	EIF4A2	0.08451825	0.012555488
Metabolism of RNA	EIF4B	0.095957293	0.012555488
Metabolism of RNA	EIF4E	0.051451052	0.012555488
Metabolism of RNA	EIF4G1	0.072592882	0.012555488
Metabolism of RNA	ESR2	0.070751104	0.012555488
Metabolism of RNA	ETF1	0.071177795	0.012555488
Metabolism of RNA	FBL	0.085996273	0.012555488
Metabolism of RNA	FRG1	0.061826293	0.012555488
Metabolism of RNA	GSPT1	0.093891126	0.012555488
Metabolism of RNA	HDAC1	0.093281523	0.012555488
Metabolism of RNA	HSD17B10	0.070035051	0.012555488
Metabolism of RNA	LSM6	0.075365181	0.012555488
Metabolism of RNA	LSM8	0.091680397	0.012555488
Metabolism of RNA	MKNK2	0.106317654	0.012555488
Metabolism of RNA	NAA38	0.087941773	0.012555488
Metabolism of RNA	NAXE	0.055621755	0.012555488
Metabolism of RNA	NFAT5	0.066911652	0.012555488
Metabolism of RNA	NME1	0.081153959	0.012555488
Metabolism of RNA	NUP107	0.050754867	0.012555488
Metabolism of RNA	PA2G4	0.075704214	0.012555488
Metabolism of RNA	PARP1	0.107082213	0.012555488
Metabolism of RNA	PSMG2	0.090354743	0.012555488
Metabolism of RNA	RANBP1	0.087780125	0.012555488
Metabolism of RNA	RBM17	0.107693252	0.012555488
Metabolism of RNA	RBM25	0.094763312	0.012555488
Metabolism of RNA	RBM39	0.075646111	0.012555488
Metabolism of RNA	RPL23	0.093566887	0.012555488
Metabolism of RNA	RPL26L1	0.059919959	0.012555488
Metabolism of RNA	RPL7L1	0.052913264	0.012555488
Metabolism of RNA	RSL1D1	0.100669276	0.012555488
Metabolism of RNA	RSRC1	0.054627357	0.012555488
Metabolism of RNA	SF1	0.054422245	0.012555488
Metabolism of RNA	SF3B5	0.105826836	0.012555488
Metabolism of RNA	SHMT2	0.08792084	0.012555488
Metabolism of RNA	SNRNP70	0.063268197	0.012555488
Metabolism of RNA	SPAG9	0.051030244	0.012555488
Metabolism of RNA	SRRT	0.052520875	0.012555488
Metabolism of RNA	TCERG1	0.063380992	0.012555488
Metabolism of RNA	TFAM	0.068154614	0.012555488
Metabolism of RNA	TOP1	0.06910476	0.012555488
Metabolism of RNA	USP1	0.068767376	0.012555488
Metabolism of RNA	WDR44	0.062537652	0.012555488
Metabolism of RNA	WWP2	0.052379205	0.012555488
Metabolism of RNA	YBX3	0.072573896	0.012555488
Metabolism of RNA	ZNF277	0.065262385	0.012555488
Metabolism of RNA	ACLY	0.053151322	0.012555488
Metabolism of RNA	AGL	0.050308367	0.012555488
Metabolism of RNA	AHSA1	0.051857792	0.012555488
Metabolism of RNA	ANP32A	0.103744302	0.012555488
Metabolism of RNA	APEX1	0.107405649	0.012555488
Metabolism of RNA	API5	0.074987992	0.012555488
Metabolism of RNA	AQR	0.050013889	0.012555488
Metabolism of RNA	ATIC	0.078242004	0.012555488
Metabolism of RNA	BANF1	0.073475695	0.012555488
Metabolism of RNA	BAZ1A	0.082572669	0.012555488
Metabolism of RNA	CAPG	0.143709878	0.012555488
Metabolism of RNA	CAPRIN1	0.09658433	0.012555488
Metabolism of RNA	CBX1	0.072934154	0.012555488
Metabolism of RNA	CDC40	0.064342534	0.012555488
Metabolism of RNA	CDC5L	0.060858017	0.012555488
Metabolism of RNA	CEBPZ	0.055508003	0.012555488
Metabolism of RNA	CELF1	0.06658326	0.012555488
Metabolism of RNA	CELF2	0.147562214	0.012555488
Metabolism of RNA	CSTF3	0.052664422	0.012555488
Metabolism of RNA	CWC15	0.054599485	0.012555488
Metabolism of RNA	CWC22	0.061852667	0.012555488
Metabolism of RNA	CWC27	0.068324894	0.012555488
Metabolism of RNA	DDX18	0.05503737	0.012555488
Metabolism of RNA	DDX46	0.083789692	0.012555488
Metabolism of RNA	DHX15	0.070825891	0.012555488
Metabolism of RNA	DHX8	0.055500931	0.012555488
Metabolism of RNA	DHX9	0.054638191	0.012555488
Metabolism of RNA	DICER1	0.093055129	0.012555488
Metabolism of RNA	DIS3	0.055540443	0.012555488
Metabolism of RNA	EIF4A3	0.082224737	0.012555488
Metabolism of RNA	EXOSC7	0.056280147	0.012555488
Metabolism of RNA	FANCL	0.055925045	0.012555488
Metabolism of RNA	FUBP1	0.071647191	0.012555488
Metabolism of RNA	FUS	0.068277006	0.012555488
Metabolism of RNA	G3BP1	0.119580028	0.012555488
Metabolism of RNA	GIGYF2	0.067217848	0.012555488
Metabolism of RNA	GLOD4	0.0844818	0.012555488
Metabolism of RNA	GLYR1	0.052677503	0.012555488
Metabolism of RNA	HELZ	0.09504382	0.012555488
Metabolism of RNA	HNRNPA3	0.076325198	0.012555488
Metabolism of RNA	HNRNPAB	0.069612154	0.012555488
Metabolism of RNA	HNRNPC	0.097581776	0.012555488
Metabolism of RNA	HNRNPD	0.089872874	0.012555488
Metabolism of RNA	HNRNPF	0.076455341	0.012555488
Metabolism of RNA	HNRNPH1	0.063799846	0.012555488
Metabolism of RNA	HNRNPH3	0.067263564	0.012555488
Metabolism of RNA	HNRNPK	0.075690988	0.012555488
Metabolism of RNA	HNRNPM	0.087654205	0.012555488
Metabolism of RNA	HNRNPR	0.079296483	0.012555488
Metabolism of RNA	HNRNPU	0.078993833	0.012555488
Metabolism of RNA	ID3	0.104573589	0.012555488
Metabolism of RNA	ILF2	0.101161228	0.012555488
Metabolism of RNA	ILF3	0.077640767	0.012555488
Metabolism of RNA	ISY1	0.057113139	0.012555488
Metabolism of RNA	JPT1	0.069803467	0.012555488
Metabolism of RNA	KIF2A	0.098362927	0.012555488
Metabolism of RNA	LAMP1	0.058526306	0.012555488
Metabolism of RNA	LGALS3	0.114979337	0.012555488
Metabolism of RNA	LSM14A	0.085754168	0.012555488
Metabolism of RNA	LSM3	0.055811009	0.012555488
Metabolism of RNA	LSM5	0.088382236	0.012555488
Metabolism of RNA	LSM7	0.073539654	0.012555488
Metabolism of RNA	MAGOH	0.063731165	0.012555488
Metabolism of RNA	MAP7D1	0.056661611	0.012555488
Metabolism of RNA	MAZ	0.050587217	0.012555488
Metabolism of RNA	MBD4	0.068368123	0.012555488
Metabolism of RNA	MCM3	0.059337269	0.012555488
Metabolism of RNA	MKI67	0.090687033	0.012555488
Metabolism of RNA	MRE11	0.057657825	0.012555488
Metabolism of RNA	MREG	0.148055764	0.012555488
Metabolism of RNA	MRM2	0.060791712	0.012555488
Metabolism of RNA	MSH2	0.079024044	0.012555488
Metabolism of RNA	MVP	0.095738777	0.012555488
Metabolism of RNA	MYC	0.083957902	0.012555488
Metabolism of RNA	NASP	0.071426351	0.012555488
Metabolism of RNA	NBN	0.079780301	0.012555488
Metabolism of RNA	NFX1	0.063798443	0.012555488
Metabolism of RNA	NOL7	0.060968288	0.012555488
Metabolism of RNA	NOL8	0.067472256	0.012555488
Metabolism of RNA	NOLC1	0.055060865	0.012555488
Metabolism of RNA	NONO	0.096590156	0.012555488
Metabolism of RNA	NSUN5	0.062029338	0.012555488
Metabolism of RNA	NUP214	0.053738384	0.012555488
Metabolism of RNA	NUP58	0.054774402	0.012555488
Metabolism of RNA	NUP93	0.054211521	0.012555488
Metabolism of RNA	NUP98	0.063623087	0.012555488
Metabolism of RNA	PAIP2	0.091279318	0.012555488
Metabolism of RNA	PAPOLA	0.067023364	0.012555488
Metabolism of RNA	PARN	0.07363306	0.012555488
Metabolism of RNA	PARP4	0.06401846	0.012555488
Metabolism of RNA	PCBP1	0.120868843	0.012555488
Metabolism of RNA	PDS5A	0.072913429	0.012555488
Metabolism of RNA	PNN	0.068526344	0.012555488
Metabolism of RNA	PNRC2	0.084721803	0.012555488
Metabolism of RNA	POLD2	0.061586135	0.012555488
Metabolism of RNA	POLR2B	0.082949429	0.012555488
Metabolism of RNA	POLR2H	0.053009682	0.012555488
Metabolism of RNA	PPIG	0.110602686	0.012555488
Metabolism of RNA	PPP1CC	0.079082511	0.012555488
Metabolism of RNA	PRKDC	0.11487067	0.012555488
Metabolism of RNA	PRMT1	0.062094592	0.012555488
Metabolism of RNA	PRPF6	0.082859659	0.012555488
Metabolism of RNA	PRPF8	0.079153965	0.012555488
Metabolism of RNA	RAD21	0.108956499	0.012555488
Metabolism of RNA	RAE1	0.053917224	0.012555488
Metabolism of RNA	RAMAC	0.053444347	0.012555488
Metabolism of RNA	RBBP6	0.057855056	0.012555488
Metabolism of RNA	RBM5	0.097973297	0.012555488
Metabolism of RNA	RBMX	0.074617146	0.012555488
Metabolism of RNA	RNPS1	0.086386415	0.012555488
Metabolism of RNA	RPA1	0.072903952	0.012555488
Metabolism of RNA	SF3A1	0.064526511	0.012555488
Metabolism of RNA	SF3A2	0.05410521	0.012555488
Metabolism of RNA	SF3A3	0.067343133	0.012555488
Metabolism of RNA	SF3B2	0.102617766	0.012555488
Metabolism of RNA	SF3B4	0.065971055	0.012555488
Metabolism of RNA	SF3B6	0.106216584	0.012555488
Metabolism of RNA	SFPQ	0.098162794	0.012555488
Metabolism of RNA	SH3GLB1	0.074056754	0.012555488
Metabolism of RNA	SLBP	0.051614328	0.012555488
Metabolism of RNA	SMARCA4	0.085094051	0.012555488
Metabolism of RNA	SMARCAD1	0.052872896	0.012555488
Metabolism of RNA	SMARCC1	0.153146554	0.012555488
Metabolism of RNA	SMC3	0.060990423	0.012555488
Metabolism of RNA	SMC4	0.077931553	0.012555488
Metabolism of RNA	SMG1	0.076708015	0.012555488
Metabolism of RNA	SMNDC1	0.050553554	0.012555488
Metabolism of RNA	SNRNP200	0.082758166	0.012555488
Metabolism of RNA	SNRPA	0.089694082	0.012555488
Metabolism of RNA	SNRPA1	0.056083924	0.012555488
Metabolism of RNA	SNRPB	0.068555215	0.012555488
Metabolism of RNA	SNRPB2	0.050804863	0.012555488
Metabolism of RNA	SNRPC	0.087305818	0.012555488
Metabolism of RNA	SNRPD1	0.076610104	0.012555488
Metabolism of RNA	SNRPD2	0.084648967	0.012555488
Metabolism of RNA	SNU13	0.08275616	0.012555488
Metabolism of RNA	SNW1	0.081182205	0.012555488
Metabolism of RNA	SRRM2	0.138561348	0.012555488
Metabolism of RNA	SRSF10	0.063812624	0.012555488
Metabolism of RNA	SRSF11	0.101866795	0.012555488
Metabolism of RNA	SRSF2	0.066456527	0.012555488
Metabolism of RNA	SRSF9	0.084419895	0.012555488
Metabolism of RNA	STK17B	0.074243797	0.012555488
Metabolism of RNA	STRAP	0.05672541	0.012555488
Metabolism of RNA	SYF2	0.06590968	0.012555488
Metabolism of RNA	SYNCRIP	0.077415323	0.012555488
Metabolism of RNA	TARDBP	0.063675495	0.012555488
Metabolism of RNA	TASOR2	0.079132439	0.012555488
Metabolism of RNA	TENT2	0.094577159	0.012555488
Metabolism of RNA	TFDP1	0.056893604	0.012555488
Metabolism of RNA	THOC2	0.104358674	0.012555488
Metabolism of RNA	TMPO	0.065614528	0.012555488
Metabolism of RNA	TNPO1	0.063428055	0.012555488
Metabolism of RNA	TOPBP1	0.069159138	0.012555488
Metabolism of RNA	TPR	0.10182694	0.012555488
Metabolism of RNA	TRA2B	0.066871531	0.012555488
Metabolism of RNA	TRAP1	0.054935982	0.012555488
Metabolism of RNA	TXNL4A	0.082846633	0.012555488
Metabolism of RNA	U2SURP	0.104511169	0.012555488
Metabolism of RNA	UBA5	0.058741067	0.012555488
Metabolism of RNA	UBAP2L	0.06578205	0.012555488
Metabolism of RNA	UBE2S	0.060951584	0.012555488
Metabolism of RNA	UCK2	0.05306832	0.012555488
Metabolism of RNA	USP10	0.10695142	0.012555488
Metabolism of RNA	UTP6	0.09261681	0.012555488
Metabolism of RNA	WBP4	0.053389006	0.012555488
Metabolism of RNA	XRCC5	0.103852159	0.012555488
Metabolism of RNA	ZBTB38	0.062423906	0.012555488
Metabolism of RNA	ZCRB1	0.061886141	0.012555488
Metabolism of RNA	ZNF146	0.067116275	0.012555488
Metabolism of proteins	ADSL	0.069858504	0.008375379
Metabolism of proteins	ARIH2	0.057675022	0.008375379
Metabolism of proteins	BST2	0.038839197	0.008375379
Metabolism of proteins	CANX	0.07041764	0.008375379
Metabolism of proteins	CCT2	0.106389475	0.008375379
Metabolism of proteins	CD274	0.042867211	0.008375379
Metabolism of proteins	CDKN1A	0.119102456	0.008375379
Metabolism of proteins	CREB1	0.079026094	0.008375379
Metabolism of proteins	CUL1	0.07502867	0.008375379
Metabolism of proteins	CYLD	0.117615658	0.008375379
Metabolism of proteins	DUSP5	0.079851102	0.008375379
Metabolism of proteins	EIF2S1	0.068680521	0.008375379
Metabolism of proteins	EIF2S2	0.076599098	0.008375379
Metabolism of proteins	ELOB	0.094467023	0.008375379
Metabolism of proteins	ELOC	0.091552904	0.008375379
Metabolism of proteins	FBXW11	0.080704338	0.008375379
Metabolism of proteins	GRSF1	0.115951209	0.008375379
Metabolism of proteins	HERC2	0.060157537	0.008375379
Metabolism of proteins	HIF1A	0.106877166	0.008375379
Metabolism of proteins	IL16	0.051355876	0.008375379
Metabolism of proteins	IL7	0.049906352	0.008375379
Metabolism of proteins	ITCH	0.071848602	0.008375379
Metabolism of proteins	JUN	0.130527308	0.008375379
Metabolism of proteins	KLF6	0.140396157	0.008375379
Metabolism of proteins	KPNA4	0.070756892	0.008375379
Metabolism of proteins	LAT2	0.076075848	0.008375379
Metabolism of proteins	LGALS3BP	0.017614944	0.008375379
Metabolism of proteins	LRPPRC	0.098452624	0.008375379
Metabolism of proteins	MAP3K14	0.121073937	0.008375379
Metabolism of proteins	MAPK14	0.089782458	0.008375379
Metabolism of proteins	MAPK8	0.086362231	0.008375379
Metabolism of proteins	MCTS1	0.050860169	0.008375379
Metabolism of proteins	MPZL1	0.061209714	0.008375379
Metabolism of proteins	MRPL3	0.059493426	0.008375379
Metabolism of proteins	NFKB1	0.073622631	0.008375379
Metabolism of proteins	NR3C1	0.089780684	0.008375379
Metabolism of proteins	OAS3	0.022762079	0.008375379
Metabolism of proteins	P4HB	0.051708664	0.008375379
Metabolism of proteins	PARP12	0.041167143	0.008375379
Metabolism of proteins	PDRG1	0.050409956	0.008375379
Metabolism of proteins	PIAS1	0.123675405	0.008375379
Metabolism of proteins	PML	0.07504254	0.008375379
Metabolism of proteins	RAB31	0.087774589	0.008375379
Metabolism of proteins	RAN	0.088933028	0.008375379
Metabolism of proteins	RNF7	0.093070989	0.008375379
Metabolism of proteins	SDCBP	0.059497856	0.008375379
Metabolism of proteins	SEC11A	0.094026528	0.008375379
Metabolism of proteins	SEC24B	0.061173233	0.008375379
Metabolism of proteins	SKP1	0.094798191	0.008375379
Metabolism of proteins	SLIRP	0.105458631	0.008375379
Metabolism of proteins	SOD2	0.046394787	0.008375379
Metabolism of proteins	SREBF2	0.0962984	0.008375379
Metabolism of proteins	SSR1	0.065440562	0.008375379
Metabolism of proteins	SSR2	0.087204404	0.008375379
Metabolism of proteins	SSR3	0.072409686	0.008375379
Metabolism of proteins	STAT1	0.065797198	0.008375379
Metabolism of proteins	TCP1	0.084238221	0.008375379
Metabolism of proteins	TRIM21	0.028711213	0.008375379
Metabolism of proteins	TRIM25	0.026343675	0.008375379
Metabolism of proteins	TRIM5	0.058494854	0.008375379
Metabolism of proteins	TXNRD1	0.07051216	0.008375379
Metabolism of proteins	UBB	0.090196493	0.008375379
Metabolism of proteins	UBC	0.087137658	0.008375379
Metabolism of proteins	UBE2A	0.10275819	0.008375379
Metabolism of proteins	UBE2D3	0.089837953	0.008375379
Metabolism of proteins	UBE2E1	0.119960826	0.008375379
Metabolism of proteins	UBE2K	0.094811874	0.008375379
Metabolism of proteins	UBE2L3	0.066847944	0.008375379
Metabolism of proteins	UBE2L6	0.072798693	0.008375379
Metabolism of proteins	UBE2N	0.084492389	0.008375379
Metabolism of proteins	UBE2V1	0.066432222	0.008375379
Metabolism of proteins	UBR1	0.06954139	0.008375379
Metabolism of proteins	UBR5	0.090441403	0.008375379
Metabolism of proteins	USP3	0.074855739	0.008375379
Metabolism of proteins	USP33	0.058189966	0.008375379
Metabolism of proteins	ACTG1	0.0503458	0.008375379
Metabolism of proteins	ANXA4	0.119412687	0.008375379
Metabolism of proteins	ATF2	0.052909947	0.008375379
Metabolism of proteins	ATP5MC2	0.082207781	0.008375379
Metabolism of proteins	CALM2	0.078028355	0.008375379
Metabolism of proteins	CAMLG	0.098207524	0.008375379
Metabolism of proteins	CCNI	0.144724852	0.008375379
Metabolism of proteins	CCT7	0.074845578	0.008375379
Metabolism of proteins	CDCA8	0.050062498	0.008375379
Metabolism of proteins	CFL1	0.062881056	0.008375379
Metabolism of proteins	CNPY2	0.097117425	0.008375379
Metabolism of proteins	CTNNB1	0.077085468	0.008375379
Metabolism of proteins	CUEDC2	0.089008066	0.008375379
Metabolism of proteins	CUL5	0.065629762	0.008375379
Metabolism of proteins	DCAF8	0.0761812	0.008375379
Metabolism of proteins	DDIT3	0.062030774	0.008375379
Metabolism of proteins	DYRK1A	0.052558487	0.008375379
Metabolism of proteins	EIF2AK4	0.098059987	0.008375379
Metabolism of proteins	ELMO1	0.111095257	0.008375379
Metabolism of proteins	ESR1	0.050386406	0.008375379
Metabolism of proteins	ETS1	0.100755697	0.008375379
Metabolism of proteins	FBXO11	0.074930881	0.008375379
Metabolism of proteins	FBXO9	0.061590637	0.008375379
Metabolism of proteins	FKBP8	0.075707319	0.008375379
Metabolism of proteins	FOXO1	0.100587503	0.008375379
Metabolism of proteins	GDI2	0.092084991	0.008375379
Metabolism of proteins	GNA13	0.062795172	0.008375379
Metabolism of proteins	GOLGA4	0.077525208	0.008375379
Metabolism of proteins	GOLGB1	0.120921363	0.008375379
Metabolism of proteins	GSK3B	0.117914451	0.008375379
Metabolism of proteins	IGFBP4	0.069217659	0.008375379
Metabolism of proteins	KDM5B	0.108139787	0.008375379
Metabolism of proteins	LAMTOR5	0.125230352	0.008375379
Metabolism of proteins	LRRK2	0.141079259	0.008375379
Metabolism of proteins	MAPK1	0.108274062	0.008375379
Metabolism of proteins	MDM2	0.076525298	0.008375379
Metabolism of proteins	MTF2	0.071593986	0.008375379
Metabolism of proteins	MYL6B	0.063858273	0.008375379
Metabolism of proteins	PEBP1	0.144957527	0.008375379
Metabolism of proteins	PSIP1	0.12689246	0.008375379
Metabolism of proteins	RANBP2	0.070204607	0.008375379
Metabolism of proteins	RHOG	0.125796577	0.008375379
Metabolism of proteins	RNF4	0.088582239	0.008375379
Metabolism of proteins	SETX	0.073079184	0.008375379
Metabolism of proteins	SLC25A3	0.090265904	0.008375379
Metabolism of proteins	SMAD3	0.051649177	0.008375379
Metabolism of proteins	SMAD4	0.061506982	0.008375379
Metabolism of proteins	SOX4	0.169694044	0.008375379
Metabolism of proteins	SPTAN1	0.109336174	0.008375379
Metabolism of proteins	SPTBN1	0.113900973	0.008375379
Metabolism of proteins	SUMO1	0.105948438	0.008375379
Metabolism of proteins	TMBIM6	0.095288334	0.008375379
Metabolism of proteins	TOPORS	0.052336464	0.008375379
Metabolism of proteins	UBE3A	0.110606088	0.008375379
Metabolism of proteins	XPO1	0.072033128	0.008375379
Metabolism of proteins	ZMIZ1	0.081898847	0.008375379
Metabolism of proteins	ABCE1	0.052951041	0.008375379
Metabolism of proteins	ACBD6	0.079677598	0.008375379
Metabolism of proteins	ANP32B	0.100912067	0.008375379
Metabolism of proteins	APOBEC3G	0.085803456	0.008375379
Metabolism of proteins	ARF4	0.058812404	0.008375379
Metabolism of proteins	ARL6IP5	0.110753661	0.008375379
Metabolism of proteins	ATF4	0.065531373	0.008375379
Metabolism of proteins	ATF5	0.09027914	0.008375379
Metabolism of proteins	B3GNT2	0.074862591	0.008375379
Metabolism of proteins	BABAM1	0.066128833	0.008375379
Metabolism of proteins	BABAM2	0.062781763	0.008375379
Metabolism of proteins	BCAR3	0.063977972	0.008375379
Metabolism of proteins	BCOR	0.078939403	0.008375379
Metabolism of proteins	BIRC5	0.057147229	0.008375379
Metabolism of proteins	BRCC3	0.051945238	0.008375379
Metabolism of proteins	BTF3	0.076666234	0.008375379
Metabolism of proteins	BUB3	0.071506814	0.008375379
Metabolism of proteins	C1QBP	0.098332656	0.008375379
Metabolism of proteins	CARM1	0.05546665	0.008375379
Metabolism of proteins	CBR1	0.082284736	0.008375379
Metabolism of proteins	CCNB1IP1	0.079838196	0.008375379
Metabolism of proteins	CCT3	0.097394066	0.008375379
Metabolism of proteins	CCT6A	0.104627387	0.008375379
Metabolism of proteins	CCT8	0.087390832	0.008375379
Metabolism of proteins	CDC37	0.073010317	0.008375379
Metabolism of proteins	CKAP5	0.065292591	0.008375379
Metabolism of proteins	COP1	0.110801696	0.008375379
Metabolism of proteins	COPB2	0.068307408	0.008375379
Metabolism of proteins	CREBBP	0.050366539	0.008375379
Metabolism of proteins	CUL2	0.050877892	0.008375379
Metabolism of proteins	CUL3	0.075892425	0.008375379
Metabolism of proteins	DCAF5	0.069284633	0.008375379
Metabolism of proteins	DCAF6	0.111985328	0.008375379
Metabolism of proteins	DCAF7	0.090395416	0.008375379
Metabolism of proteins	DDB1	0.060278802	0.008375379
Metabolism of proteins	DDB2	0.126877981	0.008375379
Metabolism of proteins	DENR	0.094788799	0.008375379
Metabolism of proteins	DHX29	0.051482012	0.008375379
Metabolism of proteins	DNAJA1	0.096727491	0.008375379
Metabolism of proteins	DNMT3A	0.06120612	0.008375379
Metabolism of proteins	DNTTIP1	0.05878591	0.008375379
Metabolism of proteins	EDF1	0.092007002	0.008375379
Metabolism of proteins	EEF2	0.083432201	0.008375379
Metabolism of proteins	EIF1AX	0.069404773	0.008375379
Metabolism of proteins	EIF1B	0.065840171	0.008375379
Metabolism of proteins	EIF2A	0.089312165	0.008375379
Metabolism of proteins	EIF2D	0.077091702	0.008375379
Metabolism of proteins	EIF2S3	0.082975062	0.008375379
Metabolism of proteins	EIF3A	0.110313952	0.008375379
Metabolism of proteins	EIF3B	0.084827214	0.008375379
Metabolism of proteins	EIF3D	0.098381907	0.008375379
Metabolism of proteins	EIF3E	0.089138775	0.008375379
Metabolism of proteins	EIF3F	0.106976975	0.008375379
Metabolism of proteins	EIF3G	0.095799791	0.008375379
Metabolism of proteins	EIF3H	0.077277644	0.008375379
Metabolism of proteins	EIF3I	0.083665511	0.008375379
Metabolism of proteins	EIF3J	0.051550604	0.008375379
Metabolism of proteins	EIF3K	0.119116505	0.008375379
Metabolism of proteins	EIF3L	0.09944224	0.008375379
Metabolism of proteins	EIF3M	0.099744305	0.008375379
Metabolism of proteins	EIF4A1	0.08101283	0.008375379
Metabolism of proteins	EIF4A2	0.08451825	0.008375379
Metabolism of proteins	EIF4B	0.095957293	0.008375379
Metabolism of proteins	EIF4E	0.051451052	0.008375379
Metabolism of proteins	EIF4G1	0.072592882	0.008375379
Metabolism of proteins	EIF5	0.118721687	0.008375379
Metabolism of proteins	EMC4	0.061828288	0.008375379
Metabolism of proteins	EP300	0.051449403	0.008375379
Metabolism of proteins	ERAL1	0.088679052	0.008375379
Metabolism of proteins	ERCC6	0.067152472	0.008375379
Metabolism of proteins	ERGIC3	0.102416319	0.008375379
Metabolism of proteins	ESR2	0.070751104	0.008375379
Metabolism of proteins	ETF1	0.071177795	0.008375379
Metabolism of proteins	ETFA	0.110387332	0.008375379
Metabolism of proteins	EXOC1	0.05652143	0.008375379
Metabolism of proteins	EXOC5	0.063900734	0.008375379
Metabolism of proteins	EXOC6	0.057029113	0.008375379
Metabolism of proteins	FAF1	0.052215974	0.008375379
Metabolism of proteins	FBL	0.085996273	0.008375379
Metabolism of proteins	FDFT1	0.128233368	0.008375379
Metabolism of proteins	FRG1	0.061826293	0.008375379
Metabolism of proteins	GAPVD1	0.074754606	0.008375379
Metabolism of proteins	GFPT1	0.076483962	0.008375379
Metabolism of proteins	GOPC	0.070009515	0.008375379
Metabolism of proteins	GSPT1	0.093891126	0.008375379
Metabolism of proteins	HDAC1	0.093281523	0.008375379
Metabolism of proteins	HDAC3	0.053194233	0.008375379
