Root Superpathway	Gene Identifier	Log fold difference	Pointwise Relative Entropy
Metabolism of RNA	BUB3	0.166217113	0.012693464
Metabolism of RNA	CAND1	0.096891561	0.012693464
Metabolism of RNA	CCT3	0.100567483	0.012693464
Metabolism of RNA	CDKN2AIP	0.059956592	0.012693464
Metabolism of RNA	CKAP5	0.139862958	0.012693464
Metabolism of RNA	DHPS	0.085163238	0.012693464
Metabolism of RNA	EIF3B	0.107492169	0.012693464
Metabolism of RNA	EIF4B	0.121404513	0.012693464
Metabolism of RNA	EIF4E	0.059335694	0.012693464
Metabolism of RNA	EIF4G1	0.113841236	0.012693464
Metabolism of RNA	ESR2	0.065121145	0.012693464
Metabolism of RNA	ETF1	0.098940865	0.012693464
Metabolism of RNA	FBL	0.1208148	0.012693464
Metabolism of RNA	GART	0.087101761	0.012693464
Metabolism of RNA	GSPT1	0.130358073	0.012693464
Metabolism of RNA	HDAC1	0.113798635	0.012693464
Metabolism of RNA	HNRNPA1	0.135559459	0.012693464
Metabolism of RNA	HSD17B10	0.099315851	0.012693464
Metabolism of RNA	LBR	0.071888131	0.012693464
Metabolism of RNA	LSM6	0.107039724	0.012693464
Metabolism of RNA	LSM8	0.136068823	0.012693464
Metabolism of RNA	LYAR	0.055166692	0.012693464
Metabolism of RNA	MKNK2	0.152219495	0.012693464
Metabolism of RNA	NAA38	0.094494423	0.012693464
Metabolism of RNA	NAXE	0.075701913	0.012693464
Metabolism of RNA	NME1	0.131807263	0.012693464
Metabolism of RNA	NUP107	0.121860872	0.012693464
Metabolism of RNA	NUP210	0.087356029	0.012693464
Metabolism of RNA	PA2G4	0.07996659	0.012693464
Metabolism of RNA	PABPC4	0.112189665	0.012693464
Metabolism of RNA	PMPCA	0.06722132	0.012693464
Metabolism of RNA	PPIA	0.089601457	0.012693464
Metabolism of RNA	PSMG2	0.149511328	0.012693464
Metabolism of RNA	RANBP1	0.126258697	0.012693464
Metabolism of RNA	RANGAP1	0.090984471	0.012693464
Metabolism of RNA	RBM17	0.104571578	0.012693464
Metabolism of RNA	RBM25	0.056527129	0.012693464
Metabolism of RNA	RBM39	0.096726407	0.012693464
Metabolism of RNA	RPL17	0.065072679	0.012693464
Metabolism of RNA	RPL23	0.119191335	0.012693464
Metabolism of RNA	RPL26L1	0.102004018	0.012693464
Metabolism of RNA	RPL5	0.052010452	0.012693464
Metabolism of RNA	RPL7L1	0.081638565	0.012693464
Metabolism of RNA	RPS16	0.06851191	0.012693464
Metabolism of RNA	RPS24	0.05440558	0.012693464
Metabolism of RNA	RPS29	0.118664413	0.012693464
Metabolism of RNA	RSL1D1	0.095512204	0.012693464
Metabolism of RNA	SF1	0.050303295	0.012693464
Metabolism of RNA	SF3B5	0.127844236	0.012693464
Metabolism of RNA	SHMT2	0.181015552	0.012693464
Metabolism of RNA	SNRNP70	0.068727681	0.012693464
Metabolism of RNA	SRRT	0.105215086	0.012693464
Metabolism of RNA	TCERG1	0.087757841	0.012693464
Metabolism of RNA	TFAM	0.061604226	0.012693464
Metabolism of RNA	TSR1	0.097485564	0.012693464
Metabolism of RNA	TUBB	0.087774374	0.012693464
Metabolism of RNA	TUBG1	0.102023035	0.012693464
Metabolism of RNA	U2AF2	0.067314436	0.012693464
Metabolism of RNA	USP1	0.141716799	0.012693464
Metabolism of RNA	WDR44	0.065673362	0.012693464
Metabolism of RNA	WWP2	0.064528773	0.012693464
Metabolism of RNA	YBX1	0.122154838	0.012693464
Metabolism of RNA	YBX3	0.053983041	0.012693464
Metabolism of RNA	AAAS	0.058622564	0.012693464
Metabolism of RNA	ACLY	0.096205575	0.012693464
Metabolism of RNA	AHSA1	0.06689066	0.012693464
Metabolism of RNA	ANP32A	0.097948117	0.012693464
Metabolism of RNA	APEX1	0.097445149	0.012693464
Metabolism of RNA	API5	0.064037622	0.012693464
Metabolism of RNA	AQR	0.064611111	0.012693464
Metabolism of RNA	ASF1A	0.059503266	0.012693464
Metabolism of RNA	ATIC	0.074539058	0.012693464
Metabolism of RNA	AURKB	0.197388499	0.012693464
Metabolism of RNA	BANF1	0.107306287	0.012693464
Metabolism of RNA	BAZ1A	0.06601111	0.012693464
Metabolism of RNA	C1D	0.060874628	0.012693464
Metabolism of RNA	CAPG	0.25434739	0.012693464
Metabolism of RNA	CAPRIN1	0.127537816	0.012693464
Metabolism of RNA	CASP8AP2	0.065319148	0.012693464
Metabolism of RNA	CBX1	0.08466098	0.012693464
Metabolism of RNA	CD2BP2	0.050903926	0.012693464
Metabolism of RNA	CDC23	0.055624687	0.012693464
Metabolism of RNA	CDC40	0.061362297	0.012693464
Metabolism of RNA	CDC5L	0.078943176	0.012693464
Metabolism of RNA	CELF1	0.082487213	0.012693464
Metabolism of RNA	CELF2	0.179083015	0.012693464
Metabolism of RNA	CHMP4B	0.060367996	0.012693464
Metabolism of RNA	CPSF7	0.060589808	0.012693464
Metabolism of RNA	CSTF3	0.056307691	0.012693464
Metabolism of RNA	CTCF	0.097405192	0.012693464
Metabolism of RNA	CTPS1	0.057395442	0.012693464
Metabolism of RNA	CWC27	0.086174215	0.012693464
Metabolism of RNA	DDX19B	0.051452391	0.012693464
Metabolism of RNA	DDX23	0.077416196	0.012693464
Metabolism of RNA	DDX39A	0.067401689	0.012693464
Metabolism of RNA	DDX46	0.091164448	0.012693464
Metabolism of RNA	DHX15	0.070538444	0.012693464
Metabolism of RNA	DHX38	0.061582202	0.012693464
Metabolism of RNA	DHX8	0.05503889	0.012693464
Metabolism of RNA	DHX9	0.053543807	0.012693464
Metabolism of RNA	DICER1	0.069883837	0.012693464
Metabolism of RNA	DIMT1	0.059489958	0.012693464
Metabolism of RNA	DKC1	0.056972913	0.012693464
Metabolism of RNA	DLGAP5	0.140965802	0.012693464
Metabolism of RNA	EFTUD2	0.089420226	0.012693464
Metabolism of RNA	EIF4A3	0.070581639	0.012693464
Metabolism of RNA	EIF4EBP2	0.059248336	0.012693464
Metabolism of RNA	ELAVL1	0.097585338	0.012693464
Metabolism of RNA	EXOSC1	0.073003499	0.012693464
Metabolism of RNA	EXOSC3	0.091781112	0.012693464
Metabolism of RNA	EXOSC5	0.056561267	0.012693464
Metabolism of RNA	EXOSC7	0.068317161	0.012693464
Metabolism of RNA	EXOSC8	0.138523541	0.012693464
Metabolism of RNA	EXOSC9	0.088060464	0.012693464
Metabolism of RNA	FANCL	0.075955153	0.012693464
Metabolism of RNA	FUBP1	0.084469058	0.012693464
Metabolism of RNA	FUS	0.096212281	0.012693464
Metabolism of RNA	G3BP1	0.108989516	0.012693464
Metabolism of RNA	GIGYF2	0.07391534	0.012693464
Metabolism of RNA	GLOD4	0.09686241	0.012693464
Metabolism of RNA	GLYR1	0.081149438	0.012693464
Metabolism of RNA	GNL3	0.073377996	0.012693464
Metabolism of RNA	GTPBP1	0.051941147	0.012693464
Metabolism of RNA	HELZ	0.089818115	0.012693464
Metabolism of RNA	HMGXB4	0.061673645	0.012693464
Metabolism of RNA	HNRNPA2B1	0.062002822	0.012693464
Metabolism of RNA	HNRNPAB	0.141957976	0.012693464
Metabolism of RNA	HNRNPC	0.134272972	0.012693464
Metabolism of RNA	HNRNPH1	0.106829684	0.012693464
Metabolism of RNA	HNRNPH3	0.090227032	0.012693464
Metabolism of RNA	HNRNPK	0.113608765	0.012693464
Metabolism of RNA	HNRNPM	0.134910012	0.012693464
Metabolism of RNA	HNRNPR	0.111045894	0.012693464
Metabolism of RNA	ID3	0.135846146	0.012693464
Metabolism of RNA	ILF2	0.107639813	0.012693464
Metabolism of RNA	ILF3	0.128510933	0.012693464
Metabolism of RNA	INTS8	0.058859417	0.012693464
Metabolism of RNA	IPO8	0.06037682	0.012693464
Metabolism of RNA	ISY1	0.077320313	0.012693464
Metabolism of RNA	JPT1	0.200906459	0.012693464
Metabolism of RNA	KIF20A	0.075420071	0.012693464
Metabolism of RNA	KIF2A	0.095873284	0.012693464
Metabolism of RNA	LAMP1	0.058251673	0.012693464
Metabolism of RNA	LARP4	0.096959916	0.012693464
Metabolism of RNA	LGALS3	0.238283066	0.012693464
Metabolism of RNA	LRRC59	0.094310288	0.012693464
Metabolism of RNA	LSM1	0.077960546	0.012693464
Metabolism of RNA	LSM14A	0.098437965	0.012693464
Metabolism of RNA	LSM3	0.172404318	0.012693464
Metabolism of RNA	LSM5	0.136092556	0.012693464
Metabolism of RNA	MAGOH	0.092709269	0.012693464
Metabolism of RNA	MAP7D1	0.11143294	0.012693464
Metabolism of RNA	MAZ	0.104233977	0.012693464
Metabolism of RNA	MBD4	0.062768882	0.012693464
Metabolism of RNA	MCM3	0.118202951	0.012693464
Metabolism of RNA	MKI67	0.294818395	0.012693464
Metabolism of RNA	MPHOSPH9	0.078068763	0.012693464
Metabolism of RNA	MRE11	0.064467342	0.012693464
Metabolism of RNA	MREG	0.104007206	0.012693464
Metabolism of RNA	MRM2	0.11913641	0.012693464
Metabolism of RNA	MRTO4	0.053314461	0.012693464
Metabolism of RNA	MSH2	0.096945154	0.012693464
Metabolism of RNA	MSH6	0.075046087	0.012693464
Metabolism of RNA	MVP	0.082893956	0.012693464
Metabolism of RNA	MYC	0.050329096	0.012693464
Metabolism of RNA	NASP	0.083951024	0.012693464
Metabolism of RNA	NAT10	0.05775263	0.012693464
Metabolism of RNA	NBN	0.058745853	0.012693464
Metabolism of RNA	NDC1	0.056488878	0.012693464
Metabolism of RNA	NEMP1	0.076703496	0.012693464
Metabolism of RNA	NFX1	0.080544349	0.012693464
Metabolism of RNA	NOL7	0.086495926	0.012693464
Metabolism of RNA	NOLC1	0.07825478	0.012693464
Metabolism of RNA	NONO	0.169963513	0.012693464
Metabolism of RNA	NOP56	0.067981459	0.012693464
Metabolism of RNA	NSUN5	0.066292238	0.012693464
Metabolism of RNA	NUP153	0.067553132	0.012693464
Metabolism of RNA	NUP214	0.08314982	0.012693464
Metabolism of RNA	NUP54	0.079255139	0.012693464
Metabolism of RNA	NUP58	0.092956303	0.012693464
Metabolism of RNA	NUP93	0.066989519	0.012693464
Metabolism of RNA	NUP98	0.079817363	0.012693464
Metabolism of RNA	ODC1	0.079256026	0.012693464
Metabolism of RNA	PAIP2	0.113726061	0.012693464
Metabolism of RNA	PAPOLA	0.111372783	0.012693464
Metabolism of RNA	PARN	0.07829931	0.012693464
Metabolism of RNA	PARP4	0.107103699	0.012693464
Metabolism of RNA	PCBP1	0.139802031	0.012693464
Metabolism of RNA	PDCD7	0.066524518	0.012693464
Metabolism of RNA	PDS5A	0.100828651	0.012693464
Metabolism of RNA	PES1	0.064652083	0.012693464
Metabolism of RNA	PHF5A	0.119190796	0.012693464
Metabolism of RNA	PIH1D1	0.097769367	0.012693464
Metabolism of RNA	PLRG1	0.065280422	0.012693464
Metabolism of RNA	PMS1	0.061105504	0.012693464
Metabolism of RNA	PNN	0.069588551	0.012693464
Metabolism of RNA	PNRC2	0.132788907	0.012693464
Metabolism of RNA	POLD2	0.058065891	0.012693464
Metabolism of RNA	POLR2B	0.104641264	0.012693464
Metabolism of RNA	POLR2D	0.074645449	0.012693464
Metabolism of RNA	POLR2H	0.115990906	0.012693464
Metabolism of RNA	PPIE	0.065507539	0.012693464
Metabolism of RNA	PPIG	0.074349067	0.012693464
Metabolism of RNA	PPIL3	0.074595817	0.012693464
Metabolism of RNA	PPP1CC	0.148427339	0.012693464
Metabolism of RNA	PRKDC	0.1631843	0.012693464
Metabolism of RNA	PRMT5	0.050333969	0.012693464
Metabolism of RNA	PRPF19	0.086240309	0.012693464
Metabolism of RNA	PRPF4	0.096408242	0.012693464
Metabolism of RNA	PRPF8	0.108886571	0.012693464
Metabolism of RNA	RAD21	0.175927897	0.012693464
Metabolism of RNA	RAE1	0.063579994	0.012693464
Metabolism of RNA	RAMAC	0.051067486	0.012693464
Metabolism of RNA	RBBP6	0.061189251	0.012693464
Metabolism of RNA	RBM22	0.063163398	0.012693464
Metabolism of RNA	RBM5	0.085567465	0.012693464
Metabolism of RNA	RBMX	0.084966698	0.012693464
Metabolism of RNA	RFC2	0.100382287	0.012693464
Metabolism of RNA	RNASEH1	0.067353612	0.012693464
Metabolism of RNA	RNPS1	0.070892688	0.012693464
Metabolism of RNA	RPA1	0.158897594	0.012693464
Metabolism of RNA	RUVBL1	0.072478321	0.012693464
Metabolism of RNA	SF3A1	0.099650143	0.012693464
Metabolism of RNA	SF3A2	0.07690038	0.012693464
Metabolism of RNA	SF3A3	0.097422802	0.012693464
Metabolism of RNA	SF3B2	0.124745215	0.012693464
Metabolism of RNA	SF3B3	0.09533579	0.012693464
Metabolism of RNA	SF3B4	0.061182568	0.012693464
Metabolism of RNA	SF3B6	0.126311591	0.012693464
Metabolism of RNA	SFPQ	0.106087723	0.012693464
Metabolism of RNA	SH3GLB1	0.102606353	0.012693464
Metabolism of RNA	SLBP	0.100880148	0.012693464
Metabolism of RNA	SMARCA4	0.10558391	0.012693464
Metabolism of RNA	SMARCC1	0.17774129	0.012693464
Metabolism of RNA	SMC3	0.125202273	0.012693464
Metabolism of RNA	SMC4	0.211290329	0.012693464
Metabolism of RNA	SMG1	0.077733874	0.012693464
Metabolism of RNA	SNAPC5	0.06109426	0.012693464
Metabolism of RNA	SNRNP200	0.141452323	0.012693464
Metabolism of RNA	SNRNP40	0.082094773	0.012693464
Metabolism of RNA	SNRPA	0.110045974	0.012693464
Metabolism of RNA	SNRPA1	0.102757117	0.012693464
Metabolism of RNA	SNRPB	0.147946619	0.012693464
Metabolism of RNA	SNRPB2	0.108772473	0.012693464
Metabolism of RNA	SNRPC	0.141541702	0.012693464
Metabolism of RNA	SNRPD1	0.105863673	0.012693464
Metabolism of RNA	SNU13	0.086754774	0.012693464
Metabolism of RNA	SNW1	0.067600667	0.012693464
Metabolism of RNA	SRRM2	0.150669525	0.012693464
Metabolism of RNA	SRSF1	0.079886894	0.012693464
Metabolism of RNA	SRSF10	0.076810591	0.012693464
Metabolism of RNA	SRSF11	0.113804593	0.012693464
Metabolism of RNA	SRSF9	0.130099792	0.012693464
Metabolism of RNA	SS18	0.081696415	0.012693464
Metabolism of RNA	STK17B	0.081878785	0.012693464
Metabolism of RNA	STRAP	0.111884198	0.012693464
Metabolism of RNA	SYNCRIP	0.112061429	0.012693464
Metabolism of RNA	TARDBP	0.104762233	0.012693464
Metabolism of RNA	TASOR2	0.066386724	0.012693464
Metabolism of RNA	TENT2	0.064454648	0.012693464
Metabolism of RNA	TFB2M	0.054485868	0.012693464
Metabolism of RNA	TFDP1	0.158355498	0.012693464
Metabolism of RNA	THOC2	0.067813429	0.012693464
Metabolism of RNA	TMPO	0.150668094	0.012693464
Metabolism of RNA	TNPO1	0.093562302	0.012693464
Metabolism of RNA	TOPBP1	0.110621338	0.012693464
Metabolism of RNA	TPR	0.106805636	0.012693464
Metabolism of RNA	TRA2B	0.089235277	0.012693464
Metabolism of RNA	TRAP1	0.13985949	0.012693464
Metabolism of RNA	TSEN54	0.058171397	0.012693464
Metabolism of RNA	TXNL4A	0.122457942	0.012693464
Metabolism of RNA	U2SURP	0.080766703	0.012693464
Metabolism of RNA	UBA5	0.102746759	0.012693464
Metabolism of RNA	UBAP2L	0.066251815	0.012693464
Metabolism of RNA	UBE2S	0.18473394	0.012693464
Metabolism of RNA	UCK2	0.067175495	0.012693464
Metabolism of RNA	UMPS	0.074670239	0.012693464
Metabolism of RNA	USP10	0.071995822	0.012693464
Metabolism of RNA	UTP20	0.074959816	0.012693464
Metabolism of RNA	UTP6	0.052059052	0.012693464
Metabolism of RNA	WDR75	0.053190019	0.012693464
Metabolism of RNA	WDR77	0.052724069	0.012693464
Metabolism of RNA	XRCC5	0.099417156	0.012693464
Metabolism of RNA	ZBTB38	0.09071192	0.012693464
Metabolism of RNA	ZCRB1	0.096552006	0.012693464
Metabolism of RNA	ZMAT5	0.062893892	0.012693464
Metabolism of RNA	ZNF146	0.07624132	0.012693464
Metabolism of RNA	ZNF511	0.077676517	0.012693464
Cell Cycle	ADNP	0.093778453	0.010007609
Cell Cycle	ANKLE2	0.108416108	0.010007609
Cell Cycle	ANLN	0.076114488	0.010007609
Cell Cycle	ATAD2	0.157135735	0.010007609
Cell Cycle	BMI1	0.051291072	0.010007609
Cell Cycle	CCND2	0.073609814	0.010007609
Cell Cycle	CCNI	0.135415353	0.010007609
Cell Cycle	CDCA8	0.146329192	0.010007609
Cell Cycle	CDK1	0.157186433	0.010007609
Cell Cycle	CDK2	0.06126489	0.010007609
Cell Cycle	CDK9	0.052040624	0.010007609
Cell Cycle	CDKN3	0.156828459	0.010007609
Cell Cycle	CEP170	0.080508403	0.010007609
Cell Cycle	CEP57	0.155083406	0.010007609
Cell Cycle	CRTC2	0.066324279	0.010007609
Cell Cycle	DCP2	0.082755761	0.010007609
Cell Cycle	DNMT1	0.132833496	0.010007609
Cell Cycle	ECT2	0.078411186	0.010007609
Cell Cycle	EED	0.092150546	0.010007609
Cell Cycle	EIF4EBP1	0.128310994	0.010007609
Cell Cycle	ELF1	0.057000545	0.010007609
Cell Cycle	ESR1	0.064890016	0.010007609
Cell Cycle	EZH2	0.161245169	0.010007609
Cell Cycle	ITGB3BP	0.061907104	0.010007609
Cell Cycle	KDM4B	0.084731115	0.010007609
Cell Cycle	KIF14	0.067420344	0.010007609
Cell Cycle	KIF23	0.096132767	0.010007609
Cell Cycle	MAPKAP1	0.121180209	0.010007609
Cell Cycle	MEX3C	0.052385925	0.010007609
Cell Cycle	MLST8	0.093741519	0.010007609
Cell Cycle	MTF2	0.11211432	0.010007609
Cell Cycle	MTOR	0.070662073	0.010007609
Cell Cycle	PDE4B	0.105881504	0.010007609
Cell Cycle	PRC1	0.119156076	0.010007609
Cell Cycle	PTEN	0.101042036	0.010007609
Cell Cycle	PTTG1	0.185915979	0.010007609
Cell Cycle	RACGAP1	0.123667613	0.010007609
Cell Cycle	RASSF1	0.050544874	0.010007609
Cell Cycle	REV3L	0.1372938	0.010007609
Cell Cycle	RRM2	0.26195895	0.010007609
Cell Cycle	SIK3	0.063043668	0.010007609
Cell Cycle	SMARCA5	0.120033765	0.010007609
Cell Cycle	SSRP1	0.174911915	0.010007609
Cell Cycle	STAG1	0.066803971	0.010007609
Cell Cycle	STIL	0.11087605	0.010007609
Cell Cycle	SUPT16H	0.102379012	0.010007609
Cell Cycle	SUZ12	0.138847034	0.010007609
Cell Cycle	TACC3	0.148901542	0.010007609
Cell Cycle	TNKS	0.078884038	0.010007609
Cell Cycle	TOPORS	0.063098674	0.010007609
Cell Cycle	WAPL	0.110575056	0.010007609
Cell Cycle	YWHAE	0.169660179	0.010007609
Cell Cycle	YWHAG	0.075542651	0.010007609
Cell Cycle	ADAR	0.069957318	0.010007609
Cell Cycle	ALOX5AP	0.197854219	0.010007609
Cell Cycle	ANKRD11	0.113789815	0.010007609
Cell Cycle	ARNT	0.062087684	0.010007609
Cell Cycle	BECN1	0.061279888	0.010007609
Cell Cycle	BRD4	0.097733908	0.010007609
Cell Cycle	CCT2	0.092207881	0.010007609
Cell Cycle	CDK4	0.146571061	0.010007609
Cell Cycle	CDKN1A	0.193077277	0.010007609
Cell Cycle	CKS1B	0.226829478	0.010007609
Cell Cycle	CMTM6	0.131333476	0.010007609
Cell Cycle	CSTB	0.203881035	0.010007609
Cell Cycle	DHFR	0.176180434	0.010007609
Cell Cycle	DTYMK	0.179336245	0.010007609
Cell Cycle	ID2	0.096245167	0.010007609
Cell Cycle	LGALS3BP	0.019711282	0.010007609
Cell Cycle	LRRFIP2	0.122337739	0.010007609
Cell Cycle	NPM1	0.081906128	0.010007609
Cell Cycle	PLK1	0.115722667	0.010007609
Cell Cycle	PRIM1	0.076158354	0.010007609
Cell Cycle	RFWD3	0.062401656	0.010007609
Cell Cycle	SAMSN1	0.079783234	0.010007609
Cell Cycle	SERPINB6	0.121376002	0.010007609
Cell Cycle	SGO2	0.076481156	0.010007609
Cell Cycle	SPI1	0.118562226	0.010007609
Cell Cycle	TNKS2	0.068246375	0.010007609
Cell Cycle	TXNDC9	0.076742564	0.010007609
Cell Cycle	TYMS	0.280571797	0.010007609
Cell Cycle	UBE2D1	0.062267575	0.010007609
Cell Cycle	UBE2E1	0.121518352	0.010007609
Cell Cycle	USP37	0.054961491	0.010007609
Cell Cycle	YWHAQ	0.14504365	0.010007609
Cell Cycle	BABAM2	0.060147295	0.010007609
Cell Cycle	BCOR	0.066783006	0.010007609
Cell Cycle	BIRC5	0.168297514	0.010007609
Cell Cycle	BRCC3	0.069725567	0.010007609
Cell Cycle	BUB3	0.166217113	0.010007609
Cell Cycle	CCNF	0.053391835	0.010007609
Cell Cycle	CCT3	0.100567483	0.010007609
Cell Cycle	CDC20	0.177087515	0.010007609
Cell Cycle	CENPX	0.086919968	0.010007609
Cell Cycle	CHEK1	0.087233581	0.010007609
Cell Cycle	CKAP5	0.139862958	0.010007609
Cell Cycle	DNA2	0.062943475	0.010007609
Cell Cycle	DTL	0.092820043	0.010007609
Cell Cycle	ESR2	0.065121145	0.010007609
Cell Cycle	HAUS4	0.096414044	0.010007609
Cell Cycle	HLTF	0.072029186	0.010007609
Cell Cycle	HMGN2	0.203288877	0.010007609
Cell Cycle	IGBP1	0.113820089	0.010007609
Cell Cycle	KIF2C	0.145834055	0.010007609
Cell Cycle	MAX	0.058151557	0.010007609
Cell Cycle	NDC80	0.151931746	0.010007609
Cell Cycle	PCGF5	0.132013205	0.010007609
Cell Cycle	PCLAF	0.289677482	0.010007609
Cell Cycle	POLE4	0.10201741	0.010007609
Cell Cycle	PPP2R2A	0.059771788	0.010007609
Cell Cycle	RB1	0.106912735	0.010007609
Cell Cycle	RBM17	0.104571578	0.010007609
Cell Cycle	RYBP	0.074445994	0.010007609
Cell Cycle	SMC5	0.060707619	0.010007609
Cell Cycle	SMC6	0.119078885	0.010007609
Cell Cycle	STMN1	0.260380486	0.010007609
Cell Cycle	TOP2A	0.250136903	0.010007609
Cell Cycle	TRAPPC8	0.055572806	0.010007609
Cell Cycle	TROAP	0.06546348	0.010007609
Cell Cycle	TUBG1	0.102023035	0.010007609
Cell Cycle	VRK1	0.095886868	0.010007609
Cell Cycle	WDHD1	0.10398903	0.010007609
Cell Cycle	YWHAH	0.189363162	0.010007609
Cell Cycle	ZWILCH	0.079154363	0.010007609
Cell Cycle	ASF1A	0.059503266	0.010007609
Cell Cycle	AURKB	0.197388499	0.010007609
Cell Cycle	BAZ1A	0.06601111	0.010007609
Cell Cycle	CDC23	0.055624687	0.010007609
Cell Cycle	CELF1	0.082487213	0.010007609
Cell Cycle	CTCF	0.097405192	0.010007609
Cell Cycle	DHX15	0.070538444	0.010007609
Cell Cycle	DIMT1	0.059489958	0.010007609
Cell Cycle	DKC1	0.056972913	0.010007609
Cell Cycle	DLGAP5	0.140965802	0.010007609
Cell Cycle	FANCL	0.075955153	0.010007609
Cell Cycle	FUBP1	0.084469058	0.010007609
Cell Cycle	KIF20A	0.075420071	0.010007609
Cell Cycle	MCM3	0.118202951	0.010007609
Cell Cycle	MKI67	0.294818395	0.010007609
Cell Cycle	MYC	0.050329096	0.010007609
Cell Cycle	NDC1	0.056488878	0.010007609
Cell Cycle	NOLC1	0.07825478	0.010007609
Cell Cycle	NONO	0.169963513	0.010007609
Cell Cycle	PARN	0.07829931	0.010007609
Cell Cycle	PARP4	0.107103699	0.010007609
Cell Cycle	PDS5A	0.100828651	0.010007609
Cell Cycle	POLD2	0.058065891	0.010007609
Cell Cycle	PRKDC	0.1631843	0.010007609
Cell Cycle	RAD21	0.175927897	0.010007609
Cell Cycle	RBM5	0.085567465	0.010007609
Cell Cycle	RFC2	0.100382287	0.010007609
