Root Superpathway	Gene Identifier	Log fold difference
"Platelet activation, signaling and aggregation"	LGALS1	0.334663433
"Platelet activation, signaling and aggregation"	LGALS3	0.238283066
"Platelet activation, signaling and aggregation"	LMNA	0.251090802
"Platelet activation, signaling and aggregation"	MGAT1	0.079748229
"Platelet activation, signaling and aggregation"	MSN	0.137523681
"Platelet activation, signaling and aggregation"	MYH9	0.168057057
"Platelet activation, signaling and aggregation"	NPC2	0.090266454
"Platelet activation, signaling and aggregation"	NUMB	0.102547649
"Platelet activation, signaling and aggregation"	PEA15	0.103472354
"Platelet activation, signaling and aggregation"	PLCG2	0.117870183
"Platelet activation, signaling and aggregation"	PLP2	0.152683325
"Platelet activation, signaling and aggregation"	PSAP	0.174032867
"Platelet activation, signaling and aggregation"	S100A10	0.245743753
"Platelet activation, signaling and aggregation"	S100A11	0.180269245
"Platelet activation, signaling and aggregation"	S100A4	0.126321752
"Platelet activation, signaling and aggregation"	S100A6	0.068645843
"Platelet activation, signaling and aggregation"	SH3BGRL3	0.112425694
"Platelet activation, signaling and aggregation"	SRGN	0.203005857
"Platelet activation, signaling and aggregation"	TAGLN2	0.104188705
"Platelet activation, signaling and aggregation"	TLN1	0.114221381
"Platelet activation, signaling and aggregation"	TPM4	0.174098039
"Platelet activation, signaling and aggregation"	TSPO	0.217432193
"Platelet activation, signaling and aggregation"	TUBB6	0.129073184
"Platelet activation, signaling and aggregation"	VAT1	0.056351648
"Platelet activation, signaling and aggregation"	VIM	0.087189276
"Platelet activation, signaling and aggregation"	WDR1	0.166479685
"Platelet activation, signaling and aggregation"	ZYX	0.102321022
Platelet homeostasis	FKBP1A	0.171963436
Platelet homeostasis	PRDX4	0.086657883
Platelet homeostasis	TRPC4AP	0.057388712
Platelet homeostasis	TXNDC5	0.055528774
