Root Superpathway	Gene Identifier	Log fold difference	Pointwise Relative Entropy
Processing of Capped Intron-Containing Pre-mRNA	SMARCC1	0.153146554	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SMNDC1	0.050553554	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SNRNP200	0.082758166	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SNRPA	0.089694082	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SNRPA1	0.056083924	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SNRPB2	0.050804863	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SNRPC	0.087305818	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SNW1	0.081182205	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SON	0.062117608	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SRRM1	0.078042794	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SRRM2	0.138561348	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SRSF2	0.066456527	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SRSF3	0.09194433	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SRSF9	0.084419895	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SUPT16H	0.079984705	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SUZ12	0.11523727	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SYF2	0.06590968	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SYNCRIP	0.077415323	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	TARDBP	0.063675495	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	TFDP1	0.056893604	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	THOC2	0.104358674	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	TMPO	0.065614528	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	TNPO1	0.063428055	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	TPR	0.10182694	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	TRA2B	0.066871531	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	TXNL4A	0.082846633	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	U2SURP	0.104511169	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	WBP4	0.053389006	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	WNK1	0.109556476	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	XRCC5	0.103852159	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	ZBTB38	0.062423906	0.018138646
Metabolism of carbohydrates	AGL	0.050308367	0.006113501
Metabolism of carbohydrates	ARHGAP15	0.087628581	0.006113501
Metabolism of carbohydrates	PCBD1	0.06967686	0.006113501
Metabolism of carbohydrates	ACBD6	0.079677598	0.006113501
Metabolism of carbohydrates	ACLY	0.053151322	0.006113501
Metabolism of carbohydrates	AKR1B1	0.096540973	0.006113501
Metabolism of carbohydrates	ANXA7	0.074713848	0.006113501
Metabolism of carbohydrates	AP2S1	0.101771484	0.006113501
Metabolism of carbohydrates	ATP6V0B	0.08434088	0.006113501
Metabolism of carbohydrates	BCL11A	0.08451082	0.006113501
Metabolism of carbohydrates	BNIP3	0.053797941	0.006113501
Metabolism of carbohydrates	DUT	0.075050051	0.006113501
Metabolism of carbohydrates	GMIP	0.058249058	0.006113501
Metabolism of carbohydrates	GOLIM4	0.086415203	0.006113501
Metabolism of carbohydrates	HK1	0.057666134	0.006113501
Metabolism of carbohydrates	HPRT1	0.074930823	0.006113501
Metabolism of carbohydrates	MAP3K14	0.121073937	0.006113501
Metabolism of carbohydrates	MAP3K8	0.115981599	0.006113501
Metabolism of carbohydrates	MYH10	0.06017111	0.006113501
Metabolism of carbohydrates	NSRP1	0.054643247	0.006113501
Metabolism of carbohydrates	PDCD6	0.109044638	0.006113501
Metabolism of carbohydrates	PFKFB3	0.072077561	0.006113501
Metabolism of carbohydrates	PGAM1	0.12669025	0.006113501
Metabolism of carbohydrates	PGK1	0.08252467	0.006113501
Metabolism of carbohydrates	PGLS	0.107456349	0.006113501
Metabolism of carbohydrates	PKIG	0.088208346	0.006113501
Metabolism of carbohydrates	PLIN2	0.073052418	0.006113501
Metabolism of carbohydrates	PPP1CA	0.100733628	0.006113501
Metabolism of carbohydrates	PPP1CC	0.079082511	0.006113501
Metabolism of carbohydrates	PPP1R12A	0.108261722	0.006113501
Metabolism of carbohydrates	PPP1R2	0.098319426	0.006113501
Metabolism of carbohydrates	PPP2R2A	0.050924903	0.006113501
Metabolism of carbohydrates	PPP2R5C	0.086378057	0.006113501
Metabolism of carbohydrates	PPP3CC	0.084320212	0.006113501
Metabolism of carbohydrates	PPP3R1	0.059495041	0.006113501
Metabolism of carbohydrates	PRDX1	0.075947571	0.006113501
Metabolism of carbohydrates	PRMT2	0.099533445	0.006113501
Metabolism of carbohydrates	RDX	0.128312624	0.006113501
Metabolism of carbohydrates	RNPEP	0.054480036	0.006113501
Metabolism of carbohydrates	SHOC2	0.098162259	0.006113501
Metabolism of carbohydrates	SLC25A5	0.107384307	0.006113501
Metabolism of carbohydrates	SNX14	0.085716973	0.006113501
Metabolism of carbohydrates	TAGLN2	0.073056723	0.006113501
Metabolism of carbohydrates	TEC	0.07950373	0.006113501
Metabolism of carbohydrates	TYMS	0.086331792	0.006113501
The citric acid (TCA) cycle and respiratory electron transport	LDHB	0.117876502	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	ACLY	0.053151322	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	HK1	0.057666134	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	VAPA	0.068179865	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	SNRPD2	0.084648967	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	COX6A1	0.101041074	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	PMPCB	0.089419747	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	B3GNT2	0.074862591	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	ACAT1	0.051218523	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	ATP5F1A	0.099229227	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	ATP5F1B	0.115335825	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	ATP5F1C	0.116962412	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	ATP5MC2	0.082207781	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	CORO1C	0.071994256	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	COX4I1	0.06113016	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	COX5A	0.102754793	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	COX5B	0.095738057	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	COX6C	0.093226132	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	COX7A2	0.106783025	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	COX7A2L	0.12973714	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	COX8A	0.09756027	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	CYC1	0.105806582	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	DBI	0.092925833	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	EIF3K	0.119116505	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	EMC4	0.061828288	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	FH	0.053546145	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	HERC6	0.014430605	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	IDH2	0.070847512	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	LAMTOR3	0.076682607	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	NDUFB5	0.107049428	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	NDUFB9	0.101580248	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	NDUFS3	0.058395919	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	NDUFS5	0.094695468	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	NDUFS8	0.091185488	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	NDUFV2	0.115952457	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	PTGES2	0.084086623	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	SDHA	0.058762185	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	SDHD	0.065103435	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	SQOR	0.071111713	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	UCP2	0.065285246	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	UQCR10	0.100339169	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	UQCR11	0.124081361	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	UQCRB	0.092731585	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	UQCRC1	0.058564239	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	UQCRC2	0.073780851	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	UQCRFS1	0.089642892	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	UQCRH	0.132942936	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	UQCRQ	0.100018113	0.004774437
The citric acid (TCA) cycle and respiratory electron transport	VDAC2	0.123484833	0.004774437
Processing of Capped Intronless Pre-mRNA	TENT2	0.094577159	0.001469742
Processing of Capped Intronless Pre-mRNA	SLBP	0.051614328	0.001469742
Processing of Capped Intronless Pre-mRNA	MKNK2	0.106317654	0.001469742
Processing of Capped Intronless Pre-mRNA	ESR2	0.070751104	0.001469742
Processing of Capped Intronless Pre-mRNA	CSTF3	0.052664422	0.001469742
Processing of Capped Intronless Pre-mRNA	NONO	0.096590156	0.001469742
Processing of Capped Intronless Pre-mRNA	PAPOLA	0.067023364	0.001469742
Processing of Capped Intronless Pre-mRNA	SFPQ	0.098162794	0.001469742
Processing of Capped Intronless Pre-mRNA	API5	0.074987992	0.001469742
Processing of Capped Intronless Pre-mRNA	CAPRIN1	0.09658433	0.001469742
Processing of Capped Intronless Pre-mRNA	CKAP5	0.065292591	0.001469742
Processing of Capped Intronless Pre-mRNA	KIF2A	0.098362927	0.001469742
Processing of Capped Intronless Pre-mRNA	NCOA7	0.060683368	0.001469742
Processing of Capped Intronless Pre-mRNA	RBBP6	0.057855056	0.001469742
Processing of Capped Intronless Pre-mRNA	USP10	0.10695142	0.001469742
Processing of Capped Intronless Pre-mRNA	YBX3	0.072573896	0.001469742
Metabolism of nucleotides	HPRT1	0.074930823	0.001068721
Metabolism of nucleotides	PGLS	0.107456349	0.001068721
Metabolism of nucleotides	HTATIP2	0.066246877	0.001068721
Metabolism of nucleotides	NME1	0.081153959	0.001068721
Metabolism of non-coding RNA	LAMP1	0.058526306	0.001068721
Metabolism of non-coding RNA	LGALS3	0.114979337	0.001068721
Metabolism of non-coding RNA	LGALS3BP	0.017614944	0.001068721
Metabolism of non-coding RNA	SNRPB	0.068555215	0.001068721
Metabolism of non-coding RNA	SNRPD1	0.076610104	0.001068721
Metabolism of non-coding RNA	SNRPD2	0.084648967	0.001068721
Metabolism of non-coding RNA	SNRPD3	0.089358648	0.001068721
Metabolism of non-coding RNA	SNRPE	0.073168	0.001068721
Metabolism of non-coding RNA	SNRPF	0.112343858	0.001068721
Metabolism of non-coding RNA	SNRPG	0.077522686	0.001068721
Metabolism of non-coding RNA	STK17B	0.074243797	0.001068721
Metabolism of non-coding RNA	STRAP	0.05672541	0.001068721
Metabolism of non-coding RNA	ZCRB1	0.061886141	0.001068721
Metabolism of nucleotides	ADA	0.186302344	0.001068721
Metabolism of nucleotides	ANXA5	0.109466777	0.001068721
Metabolism of nucleotides	CAPG	0.143709878	0.001068721
Metabolism of nucleotides	ESD	0.087505354	0.001068721
Metabolism of nucleotides	GLOD4	0.0844818	0.001068721
Metabolism of nucleotides	IMPDH2	0.093730042	0.001068721
Metabolism of nucleotides	PNP	0.071830299	0.001068721
Metabolism of nucleotides	RRM1	0.056646367	0.001068721
Metabolism of nucleotides	UCK2	0.05306832	0.001068721
Peptide hormone metabolism	GNA13	0.062795172	0.000882117
Peptide hormone metabolism	CD274	0.042867211	0.000882117
Peptide hormone metabolism	EXOC1	0.05652143	0.000882117
Peptide hormone metabolism	EXOC5	0.063900734	0.000882117
Peptide hormone metabolism	EXOC6	0.057029113	0.000882117
Peptide hormone metabolism	MKNK2	0.106317654	0.000882117
Peptide hormone metabolism	SEC11A	0.094026528	0.000882117
Peptide hormone metabolism	XPO6	0.092490462	0.000882117
Protein folding	PPP2R2A	0.050924903	0.000866389
Protein folding	NME1	0.081153959	0.000866389
Protein folding	LGALS3BP	0.017614944	0.000866389
Protein folding	PSMG2	0.090354743	0.000866389
Protein folding	CKAP5	0.065292591	0.000866389
Protein folding	BCAR3	0.063977972	0.000866389
Protein folding	BUB3	0.071506814	0.000866389
Protein folding	CCT2	0.106389475	0.000866389
Protein folding	CCT3	0.097394066	0.000866389
Protein folding	CCT6A	0.104627387	0.000866389
Protein folding	CCT7	0.074845578	0.000866389
Protein folding	CCT8	0.087390832	0.000866389
Protein folding	CDC37	0.073010317	0.000866389
Protein folding	DNMT3A	0.06120612	0.000866389
Protein folding	ELMO1	0.111095257	0.000866389
Protein folding	IGBP1	0.101945584	0.000866389
Protein folding	KDM5B	0.108139787	0.000866389
Protein folding	PDRG1	0.050409956	0.000866389
Protein folding	PPP2CA	0.083508743	0.000866389
Protein folding	PSIP1	0.12689246	0.000866389
Protein folding	RHOG	0.125796577	0.000866389
Protein folding	STMN1	0.069334745	0.000866389
Protein folding	TBCB	0.061751091	0.000866389
Protein folding	TCP1	0.084238221	0.000866389
Protein folding	TUBA1A	0.141119817	0.000866389
Protein folding	TUBA1C	0.072511499	0.000866389
Protein folding	VCP	0.080411999	0.000866389
tRNA processing	TOP1	0.06910476	0.000482713
tRNA processing	TRIM5	0.058494854	0.000482713
tRNA processing	DHX9	0.054638191	0.000482713
tRNA processing	FUS	0.068277006	0.000482713
tRNA processing	HSD17B10	0.070035051	0.000482713
tRNA processing	ZNF277	0.065262385	0.000482713
tRNA processing	ARPC5	0.126630648	0.000482713
tRNA processing	DBNL	0.089426562	0.000482713
tRNA processing	DICER1	0.093055129	0.000482713
tRNA processing	SH3GLB1	0.074056754	0.000482713
tRNA processing	TYW3	0.065846156	0.000482713
tRNA processing	UBA5	0.058741067	0.000482713
Metabolism of lipids	SSR3	0.072409686	-0.000199803
Metabolism of lipids	WDR44	0.062537652	-0.000199803
Metabolism of lipids	PLIN2	0.073052418	-0.000199803
Metabolism of lipids	ACSL1	0.071618081	-0.000199803
Metabolism of lipids	ACSL4	0.055418347	-0.000199803
Metabolism of lipids	AGPAT3	0.064310173	-0.000199803
Metabolism of lipids	ALOX5AP	0.082494772	-0.000199803
Metabolism of lipids	ARL8B	0.100834144	-0.000199803
Metabolism of lipids	CERT1	0.069580905	-0.000199803
Metabolism of lipids	CHKB	0.056674584	-0.000199803
Metabolism of lipids	CLDND1	0.051378358	-0.000199803
Metabolism of lipids	COTL1	0.113931692	-0.000199803
Metabolism of lipids	FDFT1	0.128233368	-0.000199803
Metabolism of lipids	GM2A	0.082500963	-0.000199803
Metabolism of lipids	HERPUD2	0.059369607	-0.000199803
Metabolism of lipids	HEXA	0.079796489	-0.000199803
Metabolism of lipids	HTATIP2	0.066246877	-0.000199803
Metabolism of lipids	IFITM3	0.023763861	-0.000199803
Metabolism of lipids	MAGT1	0.055113559	-0.000199803
Metabolism of lipids	NFAT5	0.066911652	-0.000199803
Metabolism of lipids	NME1	0.081153959	-0.000199803
Metabolism of lipids	OSBP	0.071823478	-0.000199803
Metabolism of lipids	PCLAF	0.053746629	-0.000199803
Metabolism of lipids	PI4KA	0.057342894	-0.000199803
Metabolism of lipids	PIK3CD	0.148625256	-0.000199803
Metabolism of lipids	PIK3CG	0.073909373	-0.000199803
Metabolism of lipids	PIK3R1	0.095115158	-0.000199803
Metabolism of lipids	PLCG2	0.090755066	-0.000199803
Metabolism of lipids	PSMD4	0.085282699	-0.000199803
Metabolism of lipids	PTEN	0.074511266	-0.000199803
Metabolism of lipids	PTPN1	0.10680333	-0.000199803
Metabolism of lipids	RPS6KA1	0.05262122	-0.000199803
Metabolism of lipids	S100A10	0.132094115	-0.000199803
Metabolism of lipids	S100A11	0.110789857	-0.000199803
Metabolism of lipids	S100A4	0.137419333	-0.000199803
Metabolism of lipids	S100A6	0.123856683	-0.000199803
Metabolism of lipids	SERBP1	0.100774529	-0.000199803
Metabolism of lipids	SGPP1	0.054684336	-0.000199803
Metabolism of lipids	SLC39A9	0.093225889	-0.000199803
Metabolism of lipids	SREBF2	0.0962984	-0.000199803
Metabolism of lipids	SSR1	0.065440562	-0.000199803
Metabolism of lipids	SSR2	0.087204404	-0.000199803
Metabolism of lipids	TRAM1	0.064403697	-0.000199803
Metabolism of lipids	VAPA	0.068179865	-0.000199803
mRNA Editing	NFAT5	0.066911652	-0.00058525
mRNA Editing	ADAR	0.081494286	-0.00058525
mRNA Editing	ADARB1	0.05734935	-0.00058525
mRNA Editing	BATF	0.072074905	-0.00058525
mRNA Editing	CELF2	0.147562214	-0.00058525
mRNA Editing	JUN	0.130527308	-0.00058525
mRNA Editing	MAZ	0.050587217	-0.00058525
mRNA Editing	SRRT	0.052520875	-0.00058525
mRNA Editing	SRSF11	0.101866795	-0.00058525
Deadenylation-dependent mRNA decay	AGL	0.050308367	-0.000825288
Deadenylation-dependent mRNA decay	ARHGAP15	0.087628581	-0.000825288
Deadenylation-dependent mRNA decay	CABLES1	0.066663833	-0.000825288
Deadenylation-dependent mRNA decay	CASP1	0.036949141	-0.000825288
Deadenylation-dependent mRNA decay	CASP4	0.044035641	-0.000825288
Deadenylation-dependent mRNA decay	CTSB	0.101202541	-0.000825288
Deadenylation-dependent mRNA decay	CTSH	0.184085835	-0.000825288
Deadenylation-dependent mRNA decay	DCP2	0.088501707	-0.000825288
Deadenylation-dependent mRNA decay	DIS3	0.055540443	-0.000825288
Deadenylation-dependent mRNA decay	EIF4A1	0.08101283	-0.000825288
Deadenylation-dependent mRNA decay	EIF4A2	0.08451825	-0.000825288
Deadenylation-dependent mRNA decay	EIF4B	0.095957293	-0.000825288
Deadenylation-dependent mRNA decay	EIF4E	0.051451052	-0.000825288
Deadenylation-dependent mRNA decay	EIF4G1	0.072592882	-0.000825288
